<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20111121,000000,79.4900000,79.4900000,74.5000000,74.5000000,333
20111122,000000,73.2000000,77.6900000,73.2000000,76.4500000,1105
20111123,000000,76.2300000,77.7700000,76.2300000,77.4800000,97
20111124,000000,76.0100000,76.5000000,75.6100000,75.6100000,501
20111125,000000,75.1100000,78.4800000,75.1000000,78.4800000,334
20111128,000000,81.0300000,82.9900000,81.0300000,82.8100000,202
20111129,000000,82.0200000,83.8800000,81.9300000,82.4100000,608
20111130,000000,83.9100000,87.5000000,83.9100000,87.5000000,405
20111201,000000,88.0100000,89.0400000,86.6500000,88.0100000,1977
